,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
289,142,0.20263671875,5,0.93212890625,5,289,39,32.49101796407186,33.790523690773064
290,142,0.85302734375,14,0.93212890625,5,290,4,2.4251497005988023,2.5885286783042396
291,142,0.85302734375,5,0.90771484375,5,291,0,0.9940119760479041,0.8403990024937655
292,142,0.85302734375,5,0.93212890625,5,292,0,0.9840319361277445,1.0024937655860349
293,26,0.20263671875,14,0.90771484375,5,293,0,0.35728542914171657,0.3790523690773067
294,107,0.10302734375,10,0.18212890625,6,294,36,35.30139720558882,34.80798004987531
295,61,0.10302734375,10,0.18212890625,6,295,5,8.1437125748503,8.082294264339152
296,107,0.95263671875,10,0.18212890625,6,296,0,0.05189620758483034,0.04239401496259352
297,107,0.10302734375,19,0.18212890625,6,297,30,32.42315369261477,32.65087281795511
298,107,0.10302734375,10,0.65771484375,6,298,26,24.2874251497006,24.359102244389028
299,107,0.10302734375,10,0.18212890625,6,299,31,28.177644710578843,29.07730673316708
300,61,0.95263671875,19,0.65771484375,6,300,0,0.0,0.0
301,37,0.60302734375,0,0.68212890625,4,301,6,4.409181636726547,4.982543640897756
302,131,0.60302734375,0,0.68212890625,4,302,12,10.27744510978044,8.668329177057357
303,37,0.45263671875,0,0.68212890625,4,303,9,10.345309381237525,11.197007481296758
304,37,0.60302734375,9,0.68212890625,4,304,0,0.2315369261477046,0.1970074812967581
305,37,0.60302734375,0,0.15771484375,4,305,10,6.157684630738523,6.805486284289277
306,37,0.60302734375,0,0.68212890625,4,306,4,5.530938123752495,6.216957605985037
307,131,0.45263671875,9,0.15771484375,4,307,15,14.590818363273453,13.536159600997506
308,28,0.41552734375,12,0.99462890625,6,308,0,0.15568862275449102,0.14962593516209477
309,140,0.41552734375,12,0.99462890625,6,309,17,22.233532934131738,22.605985037406484
310,28,0.64013671875,12,0.99462890625,6,310,0,0.07784431137724551,0.08478802992518704
311,28,0.41552734375,2,0.99462890625,6,311,0,0.17165668662674652,0.1970074812967581
312,28,0.41552734375,12,0.47021484375,6,312,2,0.5948103792415169,0.6982543640897756
313,28,0.41552734375,12,0.99462890625,6,313,0,0.1277445109780439,0.10972568578553615
314,140,0.64013671875,2,0.47021484375,6,314,7,9.253493013972056,9.69576059850374
315,98,0.91552734375,2,0.49462890625,4,315,0,0.42115768463073855,0.36159600997506236
316,70,0.91552734375,2,0.49462890625,4,316,0,0.0998003992015968,0.1172069825436409
317,98,0.14013671875,2,0.49462890625,4,317,25,23.235528942115767,24.054862842892767
318,98,0.91552734375,12,0.49462890625,4,318,2,0.30538922155688625,0.34413965087281795
319,98,0.91552734375,2,0.97021484375,4,319,0,0.2654690618762475,0.2892768079800499
320,98,0.91552734375,2,0.49462890625,4,320,0,0.24750499001996007,0.23940149625935161
321,70,0.14013671875,12,0.97021484375,4,321,8,4.508982035928144,4.5735660847880295
322,133,0.16552734375,17,0.74462890625,3,322,30,27.922155688622755,28.910224438902745
323,35,0.16552734375,17,0.74462890625,3,323,1,0.6207584830339321,0.7456359102244389
324,133,0.89013671875,17,0.74462890625,3,324,2,1.2974051896207586,1.366583541147132
325,133,0.16552734375,17,0.74462890625,3,325,34,28.850299401197606,27.18703241895262
326,133,0.16552734375,17,0.72021484375,3,326,36,36.26946107784431,36.72069825436409
327,133,0.16552734375,17,0.74462890625,3,327,28,27.572854291417165,27.49376558603491
328,35,0.89013671875,17,0.72021484375,3,328,0,0.031936127744510975,0.03740648379052369
